plate	sex
PB357.01	1	1
PB357.02	0	0
PB357.04	1	1
PB357.05	1	1
PB357.07	0	0
PB357.09	0	1
PB357.12	0	0
PB357.14	1	1
PB357.16	0	0
PB357.17	1	1
PB357.18	0	1
PB357.19	0	1
PB357.20	0	1
PB357.21	0	0
PB357.22	0	0
PB357.28	0	0
PB357.29	0	0
PB358.01	0	1
PB358.02	1	1
PB358.04	0	1
PB358.05	0	0
PB358.07	0	1
PB358.08	0	1
PB358.12	1	1
PB358.13	1	1
PB358.18	0	1
PB358.19	0	1
PB358.25	0	1
PB358.28	0	1
PB358.29	0	0
PB358.32	0	1
PB358.33	0	0
PB358.34	0	0
PB358.39	0	1
PB358.42	0	1
PB358.43	0	1
PB358.50	0	1
PB358.57	0	1
PB359.03	0	0
PB359.06	0	1
PB359.19	0	1
PB359.22	0	1
PB359.25	0	1
PB359.29	0	1
PB359.33	0	1
PB359.41	0	0
PB359.42	0	0
PB359.48	1	1
PB359.49	0	0
PB359.51	0	1
PB359.55	0	0
PB359.56	0	1
PB359.57	0	1
PB359.64	0	1
PB359.65	0	1
PB359.66	0	1
PB359.67	0	1
PB359.70	0	0
PB359.73	0	0
PB359.74	1	1
PB359.83	0	0
PB359.84	1	0
PB359.86	0	0
PB359.87	0	0
PB359.88	0	1
PB359.90	0	0
PB360.02	0	1
PB360.07	0	0
PB360.08	0	1
PB360.09	0	1
PB360.13	0	0
PB360.15	0	0
PB360.18	0	0
PB360.21	0	1
PB360.22	0	1
PB360.24	0	0
PB360.26	0	1
PB360.32	1	0
PB360.36	0	1
PB360.41	0	0
PB360.42	0	0
PB360.45	0	1
PB360.46	0	0
PB360.49	0	0
PB360.50	0	0
PB360.52	0	0
PB360.53	0	0
PB360.57	0	1
PB360.59	0	0
PB360.65	1	1
PB360.66	1	1
PB360.69	1	1
PB360.70	0	1
PB360.71	1	1
PB360.75	0	0
PB360.76	0	0
PB360.83	0	1
PB360.86	0	0
PB360.88	1	1
PB360.93	0	1
PB360.94	1	0
PB361.01	0	0
PB361.02	0	1
PB361.11	0	0
PB361.14	1	1
PB361.15	0	0
PB361.16	1	1
PB361.23	0	1
PB361.24	0	1
PB361.25	0	1
PB361.28	0	0
PB361.33	0	1
PB361.37	0	0
PB361.39	1	0
PB361.43	0	0
PB361.44	1	0
PB361.48	0	0
PB361.59	0	1
PB361.62	1	0
PB361.63	1	0
PB361.67	1	0
PB361.69	1	0
PB361.70	1	0
PB361.73	1	0
PB361.76	1	0
PB361.77	1	0
PB361.78	1	0
PB361.81	1	0
PB361.85	1	0
PB361.86	1	1
PB361.88	1	0
PB361.90	1	0
PB361.91	1	0
PB361.94	1	0
PB362.07	1	0
PB362.09	1	0
PB362.11	1	0
PB362.13	1	0
PB362.40	1	0
PB362.45	1	0
PB362.56	1	0
PB362.57	1	1
PB362.65	1	0
PB362.73	1	0
PB363.02	1	0
PB363.07	1	1
PB363.08	1	1
PB363.47	1	0
PB363.55	1	0
PB364.50	1	1
PB364.73	1	1
PB364.86	1	1
PB365.13	1	1
PB365.22	1	0
PB365.33	1	1
PB365.38	1	0
PB365.45	1	0
PB365.46	1	0
PB365.47	1	1
PB366.02	1	0
PB366.03	1	0
PB366.07	1	1
PB366.15	1	0
PB366.18	1	1
PB366.21	1	1
PB366.41	1	0
PB366.43	1	1
PB366.44	1	1
PB366.51	1	1
PB366.72	1	1
PB366.78	1	0
PB366.80	1	0
PB366.87	1	1
PB367.06	1	0
PB367.10	1	0
PB367.19	1	1
PB367.26	1	1
PB367.45	1	1
PB367.47	1	1
PB367.55	1	1
PB367.68	1	1
PB368.05	1	0
PB368.06	1	0
PB368.12	1	1
PB368.15	1	0
PB368.19	1	1
PB368.24	1	1
PB368.41	1	1
PB368.79	1	1
PB369.08	1	1
PB369.16	1	1
PB369.18	1	1
